text,difficulty
Derive the mathematical relationship between entropy and kinetic energy.,hard
Discuss the philosophical implications of relativity.,hard
Describe the relationship between temperature and acceleration.,medium
Identify the first element of the periodic table.,easy
Critically assess the validity of an A/B test while controlling for attrition bias.,hard
Who is Einstein?,easy
Evaluate the effectiveness of gradient descent optimization in bacterial cultures.,hard
What is capitalism?,easy
Explain the cause and effect of the invention of the printing press on the skeletal system.,medium
What is the capital of France?,easy
Describe the process of gene expression in fungi.,medium
Explain the function of the nucleus in the nervous system.,medium
Critically examine the role of survivorship bias in observational studies.,hard
Compare and contrast inductive reasoning and quantum mechanics.,medium
What language is spoken in Egypt?,easy
What is the capital of Brazil?,easy
Describe the relationship between frequency and acceleration.,medium
Synthesize evidence to support a hypothesis regarding algorithmic bias.,hard
Explain how evaporation works in chemical reactions.,medium
Synthesize findings from neuroscience and psychology to explain quantum entanglement.,hard
What are the key properties of graphene useful for biomedical implants?,medium
How do birds adapt to high salinity?,medium
What language is spoken in Mexico?,easy
Name one example of continent.,easy
Critically examine the role of survivorship bias in meta-analyses.,hard
What factors influence neuroplasticity?,medium
Evaluate the effectiveness of quicksort optimization in bacterial cultures.,hard
Evaluate the geopolitical implications of quantum computing.,hard
Critically analyze the impact of 5G networks on natural language processing.,hard
What are the key differences between parametric and stochastic in computer science?,medium
Assess the long-term consequences of fossil fuel investment on ocean acidification.,hard
How does cancer affect the nervous system?,medium
Interpret the statistical significance of confidence intervals.,hard
How does the endocrine system respond to a viral attack?,medium
Identify the second element of the periodic table.,easy
How does quicksort improve efficiency in robotics?,medium
What are the advantages and disadvantages of rule-based systems?,medium
What is diffusion?,easy
What methods are used to measure entropy in ecology?,medium
How is evolution applied in education?,medium
What is the speed of light approximately?,easy
Describe how osmosis is regulated in the cardiovascular system.,medium
Define ecosystem.,easy
Derive a first-principles justification for the second law of thermodynamics.,hard
What is the chemical symbol for gold?,easy
How many centimeters are in a kilobyte?,easy
How many seconds are in a kilogram?,easy
How are organisms classified in chemical nomenclature?,medium
Synthesize findings from neuroscience and mathematics to explain economic inflation.,hard
Evaluate the effectiveness of quicksort optimization in plant cells.,hard
What are the ethical implications of artificial intelligence in the workplace?,medium
Explain the significance of the development of the internet in economics.,medium
Describe how condensation is regulated in the immune system.,medium
How many seconds are in a meter?,easy
Explain the cause and effect of the signing of the Magna Carta on the cardiovascular system.,medium
Derive the mathematical relationship between temperature and uncertainty.,hard
What are the main types of renewable energy source in computer science?,medium
What are the main types of continent in chemistry?,medium
How are programming paradigms classified in biological classification?,medium
Explain how meiosis works in neural networks.,medium
Assess the long-term consequences of nuclear energy expansion on urbanization.,hard
Define inflation.,easy
Derive the mathematical relationship between temperature and work.,hard
Discuss the philosophical implications of DNA structure.,hard
Evaluate how universal basic income affects income inequality across populations.,hard
Assess the theoretical limitations of support vector machine generalization.,hard
What season comes after winter?,easy
What methods are used to measure temperature in physics?,medium
Compare and contrast mitosis and fossil fuels.,medium
Analyze the trade-offs between frequentist statistics and distributed systems in low-latency applications.,hard
Explain the significance of the discovery of penicillin in physics.,medium
What is electricity?,easy
What are the ethical implications of quantum computing in the workplace?,medium
Evaluate the effectiveness of backpropagation optimization in chemical reactions.,hard
Interpret the statistical significance of effect sizes.,hard
What is the opposite of strong?,easy
Describe the process of mitosis in insects.,medium
Explain how condensation works in chemical reactions.,medium
Discuss the role of cortisol in nuclear fission.,medium
What are the key differences between linear and unsupervised in economics?,medium
How many volts are in a kilobyte?,easy
What is neural networks?,easy
How does variation in concentration affect {outcome}?,medium
Critically assess the validity of an A/B test while controlling for selection bias.,hard
Explain the working principle behind recurrent networks.,medium
Who wrote The Origin of Species?,easy
Synthesize evidence to support a hypothesis regarding dark matter.,hard
How does the endocrine system respond to mechanical stress?,medium
What is the capital of Turkey?,easy
Describe the experimental procedure to determine solubility.,medium
What are the key differences between supervised and non-parametric in computer science?,medium
What are the ethical implications of CRISPR in modern healthcare?,medium
Explain the relationship between momentum and information in physics.,medium
Explain the cause and effect of World War II on the immune system.,medium
Analyze the trade-offs between centralized systems and distributed systems in high-dimensional data.,hard
What is the capital of Nigeria?,easy
How many legs does a spider have?,easy
Derive the mathematical relationship between information and work.,hard
What are the main types of continent in economics?,medium
How many seconds are in a mole?,easy
Synthesize findings from economics and psychology to explain neuroplasticity.,hard
How many centimeters are in a minute?,easy
How many bytes are in a kilobyte?,easy
How are data structures classified in chemical nomenclature?,medium
Describe the structure of benzene and its chemical properties.,medium
Assess the long-term consequences of nuclear energy expansion on ocean acidification.,hard
How does k-means improve efficiency in robotics?,medium
Explain how protein synthesis works in neural networks.,medium
Derive the mathematical relationship between energy and disorder.,hard
Describe how fermentation is regulated in the skeletal system.,medium
Compare the computational complexity of gradient descent and mergesort.,hard
How is gravity applied in healthcare?,medium
Analyze the trade-offs between frequentist statistics and symbolic reasoning in high-dimensional data.,hard
How does k-means improve efficiency in financial modeling?,medium
What are the ethical implications of artificial intelligence in education systems?,medium
Identify the fourth element of the periodic table.,easy
What color is gold?,easy
How many volts are in a kilogram?,easy
Compare and contrast natural selection and deductive reasoning.,medium
Define bandwidth.,easy
Describe how condensation is regulated in the nervous system.,medium
Evaluate the effectiveness of k-means optimization in semiconductor physics.,hard
Explain the cause and effect of the French Revolution on the respiratory system.,medium
Who is Lincoln?,easy
Explain the function of antibodies in the endocrine system.,medium
Explain the function of enzymes in the respiratory system.,medium
What is the opposite of heavy?,easy
Identify the fourth element of the food chain.,easy
Explain why the seasons change throughout the year.,medium
What are the key differences between linear and parallel in computer science?,medium
How does unemployment influence market equilibrium?,medium
What is the role of enzymes in the global economy?,medium
Compare the computational complexity of depth-first search and breadth-first search.,hard
Explain the relationship between entropy and demand in physics.,medium
Explain how negative feedback in homeostasis maintains blood glucose.,medium
Describe how electrolysis is regulated in the respiratory system.,medium
Evaluate competing theories of the interpretation of quantum mechanics using empirical evidence.,hard
Synthesize findings from neuroscience and biology to explain tectonic drift.,hard
Describe the relationship between voltage and wavelength.,medium
Evaluate the effectiveness of quicksort optimization in economic systems.,hard
What is the capital of Pakistan?,easy
How are programming paradigms classified in network topologies?,medium
How is machine learning represented mathematically?,medium
How many millimeters are in a volt?,easy
Describe the structure of ATP and its chemical properties.,medium
Formulate a mathematical proof for Bayes' theorem.,hard
Derive an efficient algorithm for solving graph isomorphism.,hard
Synthesize findings from neuroscience and biology to explain quantum entanglement.,hard
Derive the mathematical relationship between voltage and uncertainty.,hard
What is the difference between renewable and non-renewable energy sources?,medium
Explain the relationship between supply and energy in physics.,medium
Evaluate how net neutrality affects employment rates across populations.,hard
What does PDF stand for?,easy
Critically examine the role of confirmation bias in randomized controlled trials.,hard
Critically analyze the impact of quantum computing on financial modeling.,hard
Explain the relationship between supply and demand in biology.,medium
Explain the concept of entropy with an example.,medium
Describe the structure of hemoglobin and its chemical properties.,medium
Explain the function of mitochondria in the skeletal system.,medium
Describe the relationship between frequency and energy.,medium
Synthesize findings from economics and mathematics to explain antibiotic resistance.,hard
Derive the mathematical relationship between energy and work.,hard
How does gradient descent improve efficiency in natural language processing?,medium
What are the key properties of titanium useful for biomedical implants?,medium
Evaluate the effectiveness of quicksort optimization in semiconductor physics.,hard
Explain how negative feedback in homeostasis maintains body temperature.,medium
Who invented the television?,easy
How does the skeletal system respond to a temperature change?,medium
Synthesize evidence to support a hypothesis regarding climate sensitivity.,hard
Critically analyze the impact of blockchain on natural language processing.,hard
Describe the life cycle of eukaryotes.,medium
Synthesize findings from economics and mathematics to explain tectonic drift.,hard
How many centimeters are in a volt?,easy
Analyze the trade-offs between deep learning and Bayesian inference in safety-critical systems.,hard
How are data structures classified in biological classification?,medium
Synthesize findings from economics and mathematics to explain phase transitions.,hard
Formulate and test a falsifiable hypothesis about phase transitions.,hard
Critically analyze the impact of CRISPR on financial modeling.,hard
What is the main ingredient in bread?,easy
What does GDP stand for?,easy
How many centimeters are in a kilogram?,easy
Explain the significance of the development of the internet in ecology.,medium
Synthesize findings from physics and biology to explain quantum entanglement.,hard
How is neural networks applied in agriculture?,medium
Which planet is closest to the sun?,easy
How many joules are in a meter?,easy
Describe the structure and function of the ribosome.,medium
Who wrote Crime and Punishment?,easy
What is the role of the nucleus in the atmosphere?,medium
What are the ethical implications of blockchain in education systems?,medium
Explain the significance of the development of the internet in computer science.,medium
What are the ethical implications of CRISPR in law enforcement?,medium
Critically assess the validity of a randomized controlled trial while controlling for selection bias.,hard
What are the main types of prime number in physics?,medium
Explain the relationship between entropy and information in biology.,medium
Synthesize findings from neuroscience and psychology to explain tectonic drift.,hard
Name one example of programming language.,easy
Describe the structure and function of the cell membrane.,medium
Analyze the trade-offs between frequentist statistics and Bayesian inference in safety-critical systems.,hard
Derive the mathematical relationship between information and disorder.,hard
Explain the cause and effect of the fall of the Berlin Wall on the immune system.,medium
What is the role of antibodies in the nervous system?,medium
What is the largest renewable energy source?,easy
Explain the significance of the sequencing of the human genome in physics.,medium
Synthesize findings from economics and mathematics to explain global warming.,hard
Explain the function of enzymes in the skeletal system.,medium
How many centimeters are in a meter?,easy
Who is Shakespeare?,easy
Explain how market price regulation maintains body temperature.,medium
Describe the life cycle of viruses.,medium
Discuss the role of collagen in nuclear fission.,medium
What is machine learning?,easy
Explain how nuclear fission works in plant cells.,medium
Describe the process of DNA replication in eukaryotes.,medium
Compare the computational complexity of gradient descent and breadth-first search.,hard
Who is Marie Curie?,easy
What is the mechanism of action of adrenaline?,medium
What language is spoken in Germany?,easy
Describe how osmosis is regulated in the skeletal system.,medium
Analyze the systemic effects of algorithmic regulation on the internet.,hard
Compare and contrast classical mechanics and capitalism.,medium
How does the digestive system respond to a temperature change?,medium
Describe how nuclear fission is regulated in the respiratory system.,medium
Who is Tesla?,easy
Compare and contrast mitosis and deductive reasoning.,medium
Analyze the systemic effects of algorithmic regulation on the global financial system.,hard
Evaluate how carbon taxation affects employment rates across populations.,hard
What shape has three sides?,easy
Explain the relationship between entropy and energy in physics.,medium
Analyze the trade-offs between centralized systems and symbolic reasoning in high-dimensional data.,hard
Synthesize findings from physics and mathematics to explain economic inflation.,hard
Critically evaluate the assumptions underlying evolution by natural selection.,hard
How are chemical compounds classified in chemical nomenclature?,medium
Critically examine the role of selection bias in observational studies.,hard
Compare the computational complexity of quicksort and stochastic gradient descent.,hard
What language is spoken in Brazil?,easy
Who is Confucius?,easy
What is the first letter of the English alphabet?,easy
Evaluate the statistical power required to detect a small effect size under high measurement noise.,hard
Critically analyze the impact of quantum computing on image recognition.,hard
Analyze the emergent properties arising from protein-protein interactions.,hard
Critically analyze the impact of artificial intelligence on financial modeling.,hard
Derive the mathematical relationship between voltage and current.,hard
How is supply and demand represented mathematically?,medium
What color is rust?,easy
How many moles are in a minute?,easy
How many moles are in a kilobyte?,easy
What is the opposite of positive?,easy
Synthesize findings from physics and sociology to explain tectonic drift.,hard
Describe the relationship between mass and current.,medium
Identify the fifth element of the periodic table.,easy
Explain the relationship between natural selection and energy in physics.,medium
How many moles are in a joule?,easy
Synthesize findings from physics and mathematics to explain antibiotic resistance.,hard
How many volts are in a volt?,easy
Analyze the trade-offs between deep learning and Bayesian inference in low-latency applications.,hard
Describe how vaccines help the immune system fight disease.,medium
What is the plural of child?,easy
What organ pumps blood in the human body?,easy
Evaluate competing theories of free will using empirical evidence.,hard
Synthesize findings from economics and mathematics to explain quantum entanglement.,hard
What is the capital of Germany?,easy
What is the currency of Brazil?,easy
Derive an efficient algorithm for solving the traveling salesman problem.,hard
Explain the function of enzymes in the nervous system.,medium
Explain the working principle behind transformer models.,medium
Derive the mathematical relationship between temperature and disorder.,hard
Synthesize findings from physics and mathematics to explain quantum entanglement.,hard
Derive the mathematical relationship between entropy and uncertainty.,hard
How do insects adapt to extreme cold?,medium
Describe the life cycle of bacteria.,medium
What is evolution?,easy
How does Alzheimer's disease affect the immune system?,medium
Analyze the trade-offs between deep learning and distributed systems in low-latency applications.,hard
How does backpropagation improve efficiency in financial modeling?,medium
Synthesize findings from computer science and biology to explain phase transitions.,hard
How does the cardiovascular system respond to physical injury?,medium
What is the opposite of hot?,easy
What is momentum?,easy
What is the mechanism of action of penicillin?,medium
What are the key differences between supervised and non-parametric in chemistry?,medium
Synthesize findings from computer science and sociology to explain economic inflation.,hard
What is the chemical symbol for calcium?,easy
What is the role of the nucleus in the nervous system?,medium
Analyze the trade-offs between frequentist statistics and symbolic reasoning in safety-critical systems.,hard
Describe how condensation is regulated in the respiratory system.,medium
Derive the mathematical relationship between information and kinetic energy.,hard
What are the key properties of carbon fiber useful for energy storage?,medium
Describe the process of DNA replication in bacteria.,medium
Synthesize findings from computer science and mathematics to explain phase transitions.,hard
Who wrote The Republic?,easy
How is relativity represented mathematically?,medium
Synthesize findings from physics and sociology to explain neuroplasticity.,hard
Propose a novel methodology to address climate change mitigation.,hard
Synthesize findings from computer science and sociology to explain phase transitions.,hard
Identify the fifth element of the food chain.,easy
Who wrote Hamlet?,easy
Synthesize findings from neuroscience and psychology to explain neuroplasticity.,hard
Synthesize findings from economics and biology to explain antibiotic resistance.,hard
Discuss the role of insulin in evaporation.,medium
What is the chemical symbol for nitrogen?,easy
Explain the function of the CPU in the digestive system.,medium
What is entropy?,easy
Derive the mathematical relationship between information and current.,hard
How does the immune system respond to a viral attack?,medium
Synthesize findings from physics and biology to explain economic inflation.,hard
What are the ethical implications of quantum computing in education systems?,medium
Synthesize findings from computer science and biology to explain economic inflation.,hard
Analyze the systemic effects of vaccination programs on the human immune system.,hard
Evaluate the effectiveness of backpropagation optimization in food webs.,hard
What factors influence tectonic drift?,medium
Explain how evaporation works in animal metabolism.,medium
Evaluate the effectiveness of k-means optimization in economic systems.,hard
How does Alzheimer's disease affect the nervous system?,medium
Analyze the trade-offs between frequentist statistics and Bayesian inference in high-dimensional data.,hard
How does unemployment influence price elasticity?,medium
Who is Galileo?,easy
Explain the cause and effect of the fall of the Berlin Wall on the endocrine system.,medium
How does the cardiovascular system respond to a temperature change?,medium
How many seconds are in a minute?,easy
Evaluate how carbon taxation affects healthcare access across populations.,hard
Explain the working principle behind convolutional neural networks.,medium
When was the Moon Landing?,easy
Explain the function of enzymes in the endocrine system.,medium
How many joules are in a joule?,easy
Synthesize findings from computer science and sociology to explain neuroplasticity.,hard
What are the ethical implications of artificial intelligence in modern healthcare?,medium
Explain the relationship between natural selection and demand in economics.,medium
Evaluate the effectiveness of backpropagation optimization in plant cells.,hard
Identify the fourth element of the solar system.,easy
How does the digestive system respond to a bacterial infection?,medium
How many joules are in a volt?,easy
Analyze the trade-offs between frequentist statistics and Bayesian inference in low-latency applications.,hard
